,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
<<<<<<< HEAD
0,3.106711196899414,0.036718156173955054,0.13108181953430176,0.005982946535843212,10,{'n_estimators': 10},0.7918666666666667,0.7915333333333333,0.7917,0.7910333333333334,0.7886333333333333,0.7909533333333334,0.0011930539710247035,5
1,5.873279809951782,0.14001859168506137,0.24548544883728027,0.007235351512039889,20,{'n_estimators': 20},0.7966,0.7953333333333333,0.7976666666666666,0.7942666666666667,0.7945666666666666,0.7956866666666667,0.001276731939149489,4
2,8.815232753753662,0.08955356184854195,0.2532490253448486,0.016153110097217323,30,{'n_estimators': 30},0.7987666666666666,0.7970333333333334,0.7997,0.7977333333333333,0.7964,0.7979266666666668,0.0011846049505589795,3
3,11.284229135513305,0.09373457663490245,0.23652315139770508,0.004151759123084399,40,{'n_estimators': 40},0.7997333333333333,0.7983333333333333,0.7991,0.7986666666666666,0.7992333333333334,0.7990133333333334,0.0004810174402012597,2
4,14.208745622634888,0.1452105449018628,0.3629117488861084,0.015558806037592776,50,{'n_estimators': 50},0.8015,0.7999666666666667,0.8002,0.7985666666666666,0.8005,0.8001466666666666,0.0009474175425861624,1
=======
0,3.689023971557617,1.8112979112898349,0.1237715244293213,0.007414186661773115,10,{'n_estimators': 10},0.9253333333333333,0.9236333333333333,0.9256333333333333,0.9225,0.9187,0.92316,0.002505673562138542,5
1,4.868602514266968,0.16314651130571023,0.12159428596496583,0.005741047778744423,20,{'n_estimators': 20},0.9272,0.927,0.9306,0.9288,0.9288666666666666,0.9284933333333333,0.0013095206926369578,4
2,7.2833057880401615,0.15936442834886036,0.24131956100463867,0.006406725864481135,30,{'n_estimators': 30},0.9294666666666667,0.9301666666666667,0.9320333333333334,0.9298,0.9292,0.9301333333333334,0.0010037706688061712,3
3,9.337920999526977,0.14470415574694653,0.24430341720581056,0.007874516448323272,40,{'n_estimators': 40},0.9302,0.9325666666666667,0.9331666666666667,0.9329333333333333,0.9306666666666666,0.9319066666666667,0.0012269927102925662,2
4,11.663815975189209,0.17208632713977312,0.24008798599243164,0.007392944999635185,50,{'n_estimators': 50},0.9304,0.9325666666666667,0.9344666666666667,0.9325333333333333,0.9305333333333333,0.9320999999999999,0.001506725662561776,1
>>>>>>> parent of 4371820... Model updates
